,school,hos,mrt,mart,gas,park
八里區,1.45%,1.75%,0.0%,0.5%,2.99%,3.35%
三芝區,1.2%,1.75%,0.0%,0.0%,1.0%,0.58%
三重區,3.86%,7.02%,12.73%,10.05%,6.97%,10.35%
蘆洲區,8.67%,3.51%,5.45%,6.53%,2.49%,4.37%
三峽區,4.34%,5.26%,0.0%,3.02%,4.48%,3.35%
土城區,8.92%,10.53%,7.27%,6.53%,7.46%,8.6%
板橋區,17.83%,14.04%,14.55%,10.55%,4.48%,12.83%
中和區,2.65%,8.77%,16.36%,9.55%,10.45%,6.12%
永和區,3.13%,5.26%,1.82%,3.52%,1.49%,3.06%
五股區,1.93%,0.0%,0.0%,3.02%,2.99%,5.39%
平溪區,0.24%,0.0%,0.0%,0.0%,0.0%,0.0%
石門區,0.24%,0.0%,0.0%,0.0%,0.5%,0.15%
石碇區,0.48%,0.0%,0.0%,0.0%,0.0%,0.15%
汐止區,4.34%,1.75%,0.0%,6.53%,6.47%,2.33%
金山區,0.72%,1.75%,0.0%,0.5%,0.5%,2.04%
萬里區,0.48%,0.0%,0.0%,0.0%,0.0%,0.58%
坪林區,0.24%,0.0%,0.0%,0.0%,0.0%,0.0%
林口區,4.58%,0.0%,1.82%,3.02%,3.48%,5.69%
泰山區,2.89%,1.75%,3.64%,3.02%,3.98%,3.5%
新莊區,6.99%,14.04%,18.18%,13.57%,8.46%,9.33%
貢寮區,0.48%,0.0%,0.0%,0.0%,1.49%,0.44%
淡水區,6.99%,7.02%,5.45%,4.52%,2.99%,5.98%
深坑區,0.96%,0.0%,0.0%,1.01%,1.49%,0.29%
新店區,6.99%,10.53%,12.73%,9.05%,10.45%,4.37%
瑞芳區,1.2%,1.75%,0.0%,1.01%,1.49%,1.17%
樹林區,5.06%,1.75%,0.0%,4.02%,8.96%,3.5%
雙溪區,0.24%,0.0%,0.0%,0.0%,0.0%,0.44%
鶯歌區,2.89%,1.75%,0.0%,0.5%,4.98%,2.04%
