"Name","Address"
"八里商港店","新北市八里區商港七路21號1樓"
"土城廣明店","新北市土城區廣明街63巷31號1F"
"土城中央店","新北市土城區中央路二段191號B1"
"三重新北大道店","新北市三重區新北市三重區新北大道一段115號B1"
"土城日月光店","新北市土城區學府路二段210號B2樓"
"板橋文化店","新北市板橋區文化路二段313號B1"
"新莊中港店","新北市新莊區中港路336號"
"蘆洲光華店","新北市蘆洲區光華路200號"
"板橋中正店","新北市板橋區中正路302號"
"土城福益店","新北市土城區明德路一段67號"
"永和永安店","新北市永和區中和路499-1號"
"北大店","新北市樹林區大雅路288號B1"
"府中店","新北市板橋區府中路 126 號 1 樓"
"林口店","新北市林口區文化二路一段 559 號 B1"
"新店店","新北市新店區中興路三段1號"
"樹林店","新北市樹林區大安路118號"
"土城店","新北市土城區青雲路152號B1"
"中和店","新北市中和區中山路二段295號B1"
"板橋店","新北市板橋區三民路二段31號B1"
"景安店","新北市中和區景平路353號B1"
"中平店","新北市新莊區中平路108號B1"
"蘆洲店","新北市三重區五華街282號"
"重新店","新北市三重區重新路五段654號"
"汐科店","新北市汐止區新台五路一段99號B1"
"新莊丹鳳店","新北市新莊區雙鳳路59號"
"淡新店","新北市淡水區中山北路二段383號"
"板橋大觀店","新北市板橋區大觀路三段236號1樓之14、1樓之15"
"板橋四維店","新北市板橋區四維路247、249、251、253號"
"板橋忠孝店","新北市板橋區忠孝路237號"
"板橋金門二店","新北市板橋區金門街153、155、159號"
"板橋金門店","新北市板橋區金門街357號"
"林口仁愛店","新北市林口區仁愛路二段89號"
"林口公園店","新北市林口區公園路59號"
"林口文化一店","新北市林口區文化三路一段319、321、323、325號"
"林口文化三店","新北市林口區文化三路一段543號"
"泰山明志店","新北市泰山區明志路二段95-97號"
"淡水中山北店","新北市淡水區中山北路一段156號"
"淡水民權店","新北市淡水區民權路177巷12、16、18、20號"
"頂好_淡水自強店","新北市淡水區自強路106號B1"
"淡水沙崙店","新北市淡水區沙崙路168號"
"深坑北深店","新北市深坑區深坑區北深路三段151號"
"新店北新店","新北市新店區北新路三段51號B1"
"新店民族店","新北市新店區民族路71號B1"
"新店如意店","新北市新店區如意街95、97號"
"新店安康二店","新北市新店區安康路二段136巷59號"
"新店安康店","新北市新店區安康路二段196號B1"
"新店安祥店","新北市新店區安祥路85-89號"
"新店新坡一店","新北市新店區新坡一街75號B1"
"新店溪園店","新北市新店區溪園路399號"
"新莊中平店","新北市新莊區中平路377巷18、20號"
"新莊中信店","新北市新莊區中信街72號"
"新莊公園一店","新北市新莊區公園一路110號"
"新莊公園店","新北市新莊區公園路226號"
"新莊化成店","新北市新莊區化成路193號"
"新莊民安店","新北市新莊區民安路157號之1"
"新莊昌隆店","新北市新莊區昌隆街69、75、83號"
"新莊後港一店","新北市新莊區後港一路122-126號"
"新莊富國店","新北市新莊區富國路2號B1"
"新莊龍安店","新北市新莊區龍安路75號"
"頂好_瑞芳明燈店","新北市瑞芳區明燈路三段59-1號"
"樹林太順店","新北市樹林區太順路64號、66號、68號"
"樹林復興店","新北市樹林區復興路198號"
"樹林學成店","新北市樹林區學成路536號"
"蘆洲三民店","新北市蘆洲區三民路54號"
"蘆洲中興店","新北市蘆洲區中興街34、36號"
"蘆洲長安二店","新北市蘆洲區長安街387號1樓"
"蘆洲長榮店","新北市蘆洲區長榮路386號"
"三重中正北店","新北市三重區中正北路67號、69號"
"三重五華店","新北市三重區五華街110巷1-4號"
"三重仁愛二店","新北市三重區仁愛街81號"
"三重仁愛店","新北市三重區仁愛街285號及293號"
"三重永福店","新北市三重區永福街245、247、249號"
"三重重陽店","新北市三重區重陽路一段41號"
"三重溪尾店","新北市三重區溪尾街125號1樓"
"三峽中山店","新北市三峽區中山路171號"
"三峽光明店","新北市三峽區光明路71號"
"土城立德店","新北市土城區立德路105號"
"土城金城店","新北市土城區金城路三段202-6號"
"土城學府店","新北市土城區學府路一段157,161號"
"頂好_中和中山店","新北市中和區中山路三段1-3號"
"中和民治店","新北市中和區民治街120號"
"中和復興店","新北市中和區復興路268號"
"中和圓通店","新北市中和區圓通路274號"
"中和壽德店","新北市中和區壽德街20號1樓"
"頂好_中和興南店","新北市中和區興南路一段20號B1"
"五股成泰二店","新北市五股區成泰路一段6號"
"五股成泰店","新北市五股區成泰路一段235號之4"
"五股西雲店","新北市五股區西雲路169-1號、171號、171-1號"
"五股明德店","新北市五股區明德路12巷5號"
"永和中正店","新北市永和區中正路704號"
"永和仁愛店","新北市永和區仁愛路152號B1"
"永和竹林店","新北市永和區竹林路60號"
"汐止大同店","新北市汐止區大同路二段285號B1"
"汐止明峰店","新北市汐止區明峰街117號B1"
"汐止建成店","新北市汐止區建成路39號"
"汐止福德一店","新北市汐止區福德一路256號"
"汐止樟樹一店","新北市汐止區樟樹一路176號1樓及174號地下室"
